134;PAV SAINT-YRIEIX-TABOUY;CENTRE COMMERCIAL LES BASTIDES 26 RUE ALEXANDER FLEMING;33100;BORDEAUX;44.844554901123;-0.54941982030869;1
135;PAV DE LA COTE D ARGENT PAV EPRON;8 AVENUE SACCHETTI;33510;ANDERNOS-LES-BAINS;44.740065;-1.094593;1
136;PAV DE LA CROIX BLANCHE PAV BROCHET-CAUSSARIEU;21 COURS MARC NOUAUX;33000;BORDEAUX;44.84597;-0.593922;1
137;PAV LAFUE-SURMELY;8 PLACE DE LA REPUBLIQUE;33410;CADILLAC;44.637012;-0.320771;1
138;PAV DE LA HUME MME LABERNEDE;24 AVENUE DE LATTRE DE TASSIGNY;33470;GUJAN MESTRAS;44.638879;-1.114502;1
139;PAV DE LA JALLE;34 AVENUE DESCARTES;33160;ST MEDARD EN JALLES;44.883602;-0.69312;1
140;PAV CHARTIER-ALARY;3 AVENUE FAVARD;33170;GRADIGNAN;44.785629;-0.603682;1
141;PAV DE LA MAIRIE PAV DESBARAX;65 AVENUE DE LA LIBERATION;33380;BIGANOS;44.64212;-0.977261;1
142;PAV PELET;317 BOULEVARD JEAN JACQUES BOSC;33800;BORDEAUX;44.815455;-0.551793;1
143;PAV AUBRAY-VANHOVE;Centre Commercial La Morlette 5 Avenue Roger Schweb;33150;CENON;44.855063;-0.518538;1
144;PAV LOVATO;2 RUE CHAMBRELANT;33400;TALENCE;44.808157;-0.585138;1
145;PAV PLACE PICARD;14 COURS BALGUERIE STUTTENBERG;33300;BORDEAUX;44.855231;-0.571183;1
146;PAV DE LA PLAGE;344 BOULEVARD DE LA PLAGE;33120;ARCACHON;44.662574;-1.174384;1
147;PAV DE LA POINTE;2 RUE ABEL GANCE;33310;LORMONT;44.87819;-0.500406;1
148;PAV REUMAUX;136 COURS DU GENERAL DE GAULLE;33170;GRADIGNAN;44.772656;-0.614253;1
149;PAV MALET-TROADEC;277 COURS DE LA SOMME;33800;BORDEAUX;44.819359;-0.572435;1
150;PAV LOOS PAV LOOS - MECHE;CCAL BORDEAUX SUD ROUTE DE TOULOUSE;33140;VILLENAVE D ORNON;44.776291;-0.563997;1
151;PAV DE LA ROCADE;453 ROUTE DU MEDOC;33520;BRUGES;44.876914;-0.622233;1
152;PAV PETIT CIRON;56 GRANDE ROUTE;33430;Bernos-Beaulac;44.371253;-0.243771;1
153;PAV ROBERT-SERTOUT PAV ROBERT - SERTOUT;1 PLACE DE LA REPUBLIQUE;33570;LUSSAC;44.949491;-0.096437;1
154;SELARL PAV GALLAY GADRET;56 AVENUE DE MADRAN;33600;PESSAC;44.8058280944824;-0.63038599491119;1
155;PAV DE MAGONTY;1 RUE DU ROYAUME UNI;33600;PESSAC;44.79385;-0.705337;1
156;PAV DE MAGUDAS PAV BRICAUD-PELLET MARTINE;PLACE GEORGES BLANC;33160;SAINT-MEDARD-EN-JALLES;44.86095;-0.728749;1
157;PAV DUFRENNE-VARACHE;CCAL DU PARC MARBOTIN 26 AVENUE DE BELFORT;33700;MERIGNAC;44.829418182373;-0.64787268638611;1
158;PAV DE MEIGNAN;7 RUE CAMILLE JULLIAN;33530;BASSENS;44.90223;-0.508885;1
159;PAV SUBRA PAV SUBRA;172 RUE JULES FERRY C/C CARREFOUR MARKET;33200;BORDEAUX;44.844577;-0.610043;1
160;PAV LANGLADE;29 AVENUE DU CHENE VERT;33550;PAILLET;44.685108;-0.364736;1
161;PAV DE PESSAC;48 BIS AVENUE DU GENERAL LECLERC LECLERC;33600;PESSAC;44.794968;-0.668764;1
162;PAV DOP-MERLIN;1A CHEMIN DE BRONDEAU;33370;POMPIGNAC;44.8520055;-0.4348189;1
163;PAV DE CADAUJAC;844 AVENUE DE TOULOUSE;33140;CADAUJAC;44.752013;-0.549110;1
164;PAV DE SAIGE PAV NAKACHE-BOUHANA;88 AVENUE DE SAIGE CCAL;33600;PESSAC;44.790327;-0.634349;1
165;PAV CHEVRIER-SAYO;CCAL DE SAIGE FORMANOIR;33600;PESSAC;44.8058280944824;-0.63038599491119;1
166;PAV BERTON;AVENUE DU GENERAL DE GAULLE 20;33350;STE TERRE;44.82971;-0.1307;1
167;PAV DE SAUTERNES;8 LIEU DIT LE PARENT;33210;SAUTERNES;44.5297164916992;-0.34084689617157;1
168;PAV DE SAINT MORILLON;1 ROUTE DE CASTRES;33650;ST MORILLON;44.653275;-0.500227;1
169;PAV RAYNAL-FABRE;89 AVENUE JEAN CORDIER;33600;PESSAC;44.816606;-0.618684;1
170;PAV DEBLEDS;240 BOULEVARD DE LA COTE D ARGENT;33120;ARCACHON;44.641137;-1.201722;1
171;PAV DEBRUYNE-CHASSAIGNE;93 COURS BALGUERIE STUTTENBERG;33300;BORDEAUX;44.858596;-0.566589;1
172;PAV DEHONDT;103 BOULEVARD DU PRESIDENT WILSON;33200;BORDEAUX;44.8412619;-0.5998743;1
173;PAV DELAHAYE;15 ROUTE DE GERMIGNAN;33160;ST AUBIN DE MEDOC;44.911797;-0.722829;1
174;MA PAV BASTIDE;21 ALLEE SERR;33100;BORDEAUX;44.842012;-0.560062;1
175;PAV DU VIGEAN;114 AVENUE DU MEDOC;33320;EYSINES;44.883387;-0.632395;1
176;PAV DEPOND-DROUILLARD;1 AVENUE DU GENERAL DE GAULLE;33550;LANGOIRAN;44.708573;-0.401002;1
177;PAV DULUC-LATHUILLIERE;1 RUE DE LA MAIRIE;33930;VENDAYS MONTALIVET;45.356417;-1.060856;1
178;PAV BOULDOUYRE;2 RUE CAMILLE PELLETAN;33150;CENON;44.863959;-0.519695;1
179;PAV IDIARTEGARAY-DESALME;2 PLACE GABRIEL MAYDIEU;33120;ARCACHON;44.657057;-1.182718;1
180;PAV DES ALLEES;10 ALLEE DE LA REPUBLIQUE;33350;CASTILLON LA BATAILLE;44.853086;-0.043572;1
181;PAV AUDOUIT-FABRE;101 AVENUE DE LA REPUBLIQUE;33450;ST LOUBES;44.91599;-0.421853;1
182;PAV DES BONS ENFANTS;34 AVENUE DE L ENTRE DEUX MERS;33370;FARGUES ST HILAIRE;44.825758;-0.452777;1
183;PAV BOHN-GENDRAULT;11 RUE DU PROFESSEUR MOURE;33560;STE EULALIE;44.908025;-0.47399;1
184;PAV BRECHAND - BOURDIL;6 PLACE DU ROND POINT;33890;GENSAC;44.805718;0.074678;1
185;PAV DES DYONISIENS;35 AVENUE FRANCOIS MITTERAND;33910;SAINT-DENIS-DE-PILE;44.992482;-0.201091;1
186;PAV DES ECHOPPES CENTRE COMMERCIAL LECLERC;110 BIS AVENUE JEAN JAURES GALERIE COMMERCIALE LECLERC 110BIS AVENUE JEAN JAURES;33600;PESSAC;44.810020;-0.618710;1
187;PAV DES GIRONDINS;73 AVENUE ARISTIDE BRIAND;33700;MERIGNAC;44.823986;-0.617705;1
188;PAV SCHIRO-HEURGON;CTRE COMMERCIAL 8 AVENUE DU COLONEL BOURGOIN;33127;MARTIGNAS SUR JALLE;44.842091;-0.768278;1
189;PAV PERRET-YUNG PAV PERRET-YUNG;1 ROUTE DES CITES;33360;CAMBLANES ET MEYNAC;44.767259;-0.488116;1
190;PAV DES SABLES;21 RUE JULES GUESDE;33850;LEOGNAN;44.730328;-0.594632;1
191;PAV DE MARTILLAC;2 CHEMIN DE LA CANAVE;33650;MARTILLAC;44.72187;-0.531603;1
192;PAV ORENES;126 AVENUE DES PYRENEES;33140;VILLENAVE D ORNON;44.764791;-0.561292;1
193;PAV DEVEZE SABATIER;2 COURS PIERRE LASSALLE;33590;ST VIVIEN DE MEDOC;45.428705;-1.034982;1
194;PAV DI BATTISTA;17 PLACE SADI-CARNOT;33880;CAMBES;44.731755;-0.462544;1
195;PAV DOUBLET;11 ROUTE DE CREON;33750;ST GERMAIN DU PUCH;44.855315;-0.323594;1
196;PAV DRIESSENS-LAFARGE;CCAL LECLERC LOCAL N3 23 AVENUE DE LA ROUDET;33500;LIBOURNE;44.930544;-0.240541;1
197;PAV FRIOCOURT-ZENKER-LAMBRECHT;55 RUE PAUL DOUMER;33700;MERIGNAC;44.830835;-0.61906;1
198;PAV LAFEUILLADE;106 AVENUE DE LA LIBERATION;33490;ST PIERRE D AURILLAC;44.571789;-0.191153;1
199;PAV SERVANT;266 AVENUE DU GENERAL DE GAULLE;33450;IZON;44.920353;-0.358972;1
200;PAV GRANDCLAUDE PAV GRANDCLAUDE-ROUQUETTE;98 AVENUE PIERRE MENDES FRANCE;33700;MERIGNAC;44.816355;-0.633934;1
201;PAV ARAY-GRATIAS;5 AVENUE DE VERDUN;33127;MARTIGNAS SUR JALLE;44.841121;-0.776349;1
202;PAV BOUDET-BOUSQUET;ANGLE AVENUE DE BORDEAUX (N 220 BOULEVARD DE LA REPUBLIQUE;33510;ANDERNOS LES BAINS;44.741929;-1.098173;1
203;PAV REMAZEILLES-SUBRA;1 RUE JULES GUESDE;33270;FLOIRAC;44.830107;-0.527405;1
204;PAV DU CENTRE;13 RUE JEAN JAURES;33250;PAUILLAC;45.199699;-0.749236;1
205;PAV LIBERTE PAV ROQUE-FAGETTE;85 AVENUE DE LA LIBERTE;33440;AMBARES;44.942291;-0.491111;1
206;PAV BENDENOUN;59 AVENUE ARISTIDE BRIAND;33720;BARSAC;44.609245;-0.314193;1
207;PAV DU CONSERVATOIRE;C CCIAL CARREFOUR BORDEAUX ST JEAN 10 QUAI DE PALUDATE;33800;BORDEAUX;44.8255348205566;-0.57762122154236;1
208;PAV LAHLOU LAKSIR;9 RUE DES ARPEGES;33360;LATRESNE;44.7869453430176;-0.48571428656578;1
209;PAV ROBERT;64 RUE DE BOULANGE;33470;LE TEICH;44.623462;-1.02445;1
210;PHRAMACIE DU DORAT PAV FONTAINE-VARLOT;3 PLACE DU GENERAL DE GAULLE;33130;BEGLES;44.801615;-0.544375;1
211;PAV DU GRAND CAILLOU;CCAL DU GRAND CAILLOU;33320;EYSINES;44.8857917785644;-0.64881497621536;1
212;PAV DU GRAND LARGE;CCAL DU GRAND LARGE AVENUE DE CESAREE;33470;GUJAN MESTRAS;44.6357307434082;-1.07118904590607;1
213;PAV DU GRAND LEBRUN;103 AVENUE DU GENERAL LECLERC;33200;BORDEAUX;44.853657;-0.610399;1
214;PAV LEGRAND LEGRAND;75 AVENUE ET 77 DE ST MEDARD;33320;EYSINES;44.861513;-0.643102;1
215;PAV DU HAUT LIVRAC;55 RUE ROGER VILANOVA;33600;PESSAC;44.798541;-0.672342;1
216;PAV BALL;10 RUE DE BORDEAUX;33980;AUDENGE;44.682323;-1.008702;1
217;PAV DU MILAN;4 RUE DU LAVOIR;33650;SAINT-MEDARD-D EYRANS;44.717922;-0.509154;1
218;PAV BARTHOU-DARROUZES;CCAL CHAMBERY 1 RUE THIERS;33140;VILLENAVE D ORNON;44.7652702331543;-0.58326399326324;1
219;PAV GHYSELS-ESTEVE;9 BOULEVARD DE LA PLAGE;33120;ARCACHON;44.656974;-1.148098;1
220;PAV DU POUYALET;LE POUYALLET 37 ROUTE DE BORDEAUX;33250;PAUILLAC;45.21597672;-0.76486057;1
221;PAV JAILLET;249 COURS DU GENERAL DE GAULLE;33170;GRADIGNAN;44.769083;-0.616796;1
